City ID,City Name,Country,Cloudiness,Max Temp,Wind Speed,Humidity,Lat,Lng
93,Sri Aman,MY,20,77.0,1.32,94,1.2376,111.4621
94,Castro,BR,72,62.4,3.11,95,-24.7911,-50.0119
95,Salinópolis,BR,100,79.18,11.88,87,-0.6136,-47.3561
96,Puerto Maldonado,PE,100,70.81,1.16,96,-12.6,-69.1833
97,Sitka,US,20,39.2,13.8,26,57.0531,-135.33
98,Airai,TL,87,68.34,1.21,97,-8.9266,125.4092
99,Mamlyutka,KZ,87,-2.96,6.91,93,54.9375,68.5394
100,Rio Grande,BR,100,70.0,5.99,93,-32.035,-52.0986
101,Hobart,AU,75,69.01,12.66,48,-42.8794,147.3294
102,Nelson Bay,AU,75,75.2,5.75,88,-32.7167,152.15
103,Cabatuan,PH,75,79.07,5.35,83,10.8794,122.486
104,Isangel,VU,75,82.4,4.47,78,-19.55,169.2667
105,Lucera,IT,90,39.2,1.14,100,41.5082,15.3351
106,Store Heddinge,DK,0,26.01,2.3,92,55.3097,12.3889
107,Esperance,AU,12,64.4,8.05,72,-33.8667,121.9
108,Khandyga,RU,78,0.91,2.86,87,62.6667,135.6
109,Uarini,BR,100,77.04,2.06,94,-2.99,-65.1083
110,Souillac,MU,40,77.0,10.36,88,-20.5167,57.5167
111,Tateyama,JP,40,53.6,9.22,82,34.9833,139.8667
112,Bredasdorp,ZA,3,69.8,2.3,83,-34.5322,20.0403
113,Gondanglegi,ID,100,76.73,2.28,85,-7.7479,112.0132
114,Mugumu,TZ,100,60.55,2.15,95,-1.85,34.7
115,Springbok,ZA,80,68.74,1.81,60,-29.6643,17.8865
116,Capoterra,IT,40,55.99,1.14,100,39.1763,8.9718
117,Baiyin,CN,0,39.99,4.47,64,36.5583,104.2081
118,Constitución,CL,28,60.28,10.49,87,-35.3333,-72.4167
119,Chokurdakh,RU,12,-22.9,3.38,71,70.6333,147.9167
120,La Serena,CL,0,64.4,9.22,82,-29.9078,-71.2542
121,Östersund,SE,0,17.6,18.41,67,63.1792,14.6357
122,Mount Gambier,AU,90,62.6,8.05,77,-37.8333,140.7667
123,Thompson,CA,1,-23.8,0.98,76,55.7435,-97.8558
124,Fortuna,US,90,53.01,4.41,100,40.5982,-124.1573
125,Meulaboh,ID,86,76.68,3.31,86,4.1363,96.1285
126,Hong Kong,HK,54,64.99,7.43,82,22.2855,114.1577
127,Vila Franca do Campo,PT,20,60.01,13.8,94,37.7167,-25.4333
128,West Plains,US,90,19.4,8.05,73,36.7281,-91.8524
129,Byndoor,IN,29,71.67,5.64,68,13.8667,74.6333
130,Grindavik,IS,90,39.2,39.12,81,63.8424,-22.4338
131,Rome,US,1,8.01,4.61,56,43.2128,-75.4557
132,Guerrero Negro,MX,88,61.48,19.22,69,27.9769,-114.0611
133,Laas,IT,0,10.4,9.22,85,46.6166,10.7002
134,Inhambane,MZ,80,79.29,10.49,87,-23.865,35.3833
135,Buala,SB,100,80.74,12.19,84,-8.145,159.5921
136,Tuktoyaktuk,CA,75,-4.0,4.61,77,69.4541,-133.0374
137,Carnarvon,AU,40,78.8,8.05,94,-24.8667,113.6333
138,Launceston,AU,40,71.01,5.75,55,-41.45,147.1667
139,Westport,US,90,28.4,6.91,34,41.1415,-73.3579
140,Ribeira Grande,PT,82,60.33,27.38,79,38.5167,-28.7
141,Tiksi,RU,39,-11.18,1.88,91,71.6872,128.8694
142,Nueva Guinea,NI,18,73.33,8.48,79,11.6876,-84.4562
143,Ulaanbaatar,MN,0,-23.8,2.24,69,47.9077,106.8832
144,Mariehamn,AX,0,30.2,14.97,74,60.0973,19.9348
145,Tiznit Province,MA,10,60.93,0.69,53,29.5833,-9.5
146,Poum,NC,0,80.46,8.16,71,-20.2333,164.0167
147,Nouadhibou,MR,0,62.6,23.02,82,20.931,-17.0347
148,Kokstad,ZA,19,61.09,4.56,93,-30.5472,29.4241
149,Sémbé,CG,25,75.78,3.27,69,1.6481,14.5806
150,Gucheng,CN,97,48.2,1.97,50,35.9115,111.3192
151,Khatanga,RU,92,-26.48,7.4,86,71.9667,102.5
152,Sīta Road,PK,15,59.68,5.35,32,27.0333,67.85
153,Dzhebariki-Khaya,RU,67,1.24,1.34,84,62.2167,135.8
154,Mount Isa,AU,40,89.6,8.05,51,-20.7333,139.5
155,Tselinnoye,RU,37,-22.11,2.28,87,53.0833,85.6667
156,Halifax,CA,97,26.6,5.75,74,44.6453,-63.5724
157,Hasaki,JP,20,45.0,5.75,70,35.7333,140.8333
158,Bilma,NE,11,65.79,3.38,23,18.6853,12.9164
159,Aromashevo,RU,51,-10.46,7.23,90,56.8602,68.6375
160,Goderich,CA,99,10.4,3.44,79,43.7501,-81.7165
161,Alingsås,SE,0,12.2,5.75,67,57.9303,12.5335
162,Bathsheba,BB,40,78.8,18.41,69,13.2167,-59.5167
163,Meadow Lake,US,75,55.0,12.66,32,34.8014,-106.5436
164,Samokov,BG,0,21.0,13.8,67,42.3333,23.55
165,Bien Hoa,VN,40,73.4,1.14,94,10.95,106.8167
166,Songea,TZ,99,63.9,3.58,97,-10.6833,35.65
167,La Ronge,CA,32,-16.6,1.14,63,55.1001,-105.2842
168,Ayagoz,KZ,3,2.28,7.94,92,47.9714,80.4392
169,Petropavlovsk-Kamchatskiy,RU,75,10.4,6.71,67,53.0452,158.6483
170,Mahébourg,MU,40,77.0,10.36,88,-20.4081,57.7
171,Kloulklubed,PW,90,82.4,6.91,83,7.0419,134.2556
172,Beihai,CN,0,63.9,4.81,74,21.4833,109.1
173,Cidreira,BR,99,75.56,14.67,81,-30.1811,-50.2056
174,Nemuro,JP,75,19.4,2.3,73,43.3236,145.575
175,Half Moon Bay,US,90,59.0,13.8,82,37.4636,-122.4286
176,Yulara,AU,90,64.4,21.85,72,-25.2406,130.9889
177,Hofn,IS,100,40.91,22.15,70,64.2539,-15.2082
178,Chebenki,RU,0,28.4,11.18,80,51.9337,55.7077
179,Flinders,AU,100,71.01,4.0,86,-34.5833,150.8552
180,Katsuura,JP,20,53.01,8.05,61,35.1333,140.3
181,Manicoré,BR,95,76.32,0.54,94,-5.8092,-61.3003
182,Xinxiang,CN,50,48.07,3.71,87,35.3089,113.8672
183,Upernavik,GL,0,-1.8,8.21,80,72.7868,-56.1549
184,Lagoa,PT,70,58.82,20.96,80,39.05,-27.9833
185,Narsaq,GL,75,44.6,39.12,29,60.9167,-46.05
186,Cabedelo,BR,90,75.2,9.22,100,-6.9811,-34.8339
187,Shelburne,CA,90,9.0,2.3,72,44.0787,-80.2041
188,Felanitx,ES,75,57.2,3.44,82,39.4696,3.1483
189,Nantucket,US,90,24.8,6.02,68,41.2835,-70.0995
190,Batagay-Alyta,RU,0,-8.82,2.24,79,67.8006,130.4114
191,Ambilobe,MG,100,73.67,1.92,94,-13.2,49.05
192,Hambantota,LK,45,71.6,2.3,100,6.1241,81.1185
193,Shache,CN,0,34.61,3.67,79,38.4167,77.2406
194,Olafsvik,IS,88,39.6,26.64,73,64.8945,-23.7142
195,Tuatapere,NZ,89,66.99,4.0,59,-46.1333,167.6833
196,Safi,MA,21,58.24,20.33,87,32.2994,-9.2372
197,Tortolì,IT,100,51.8,3.44,93,39.9256,9.6572
198,Homer,US,75,35.01,5.19,80,59.6425,-151.5483
199,Cap Malheureux,MU,10,75.0,5.01,81,-19.9842,57.6142
200,Grand Gaube,MU,19,75.0,5.01,81,-20.0064,57.6608
201,Puerto Carreño,CO,83,88.34,9.28,44,6.189,-67.4859
202,Srednekolymsk,RU,0,-25.4,5.97,83,67.45,153.6833
203,Southbridge,US,75,23.0,1.16,51,42.0751,-72.0334
204,Nikolskoye,RU,75,3.0,4.47,84,59.7035,30.7861
205,Cabo San Lucas,MX,1,73.0,17.27,64,22.8909,-109.9124
206,São Filipe,CV,6,72.99,14.99,62,14.8961,-24.4956
207,Codrington,AU,30,63.91,11.63,59,-38.2667,141.9667
208,Sabang,ID,45,82.6,13.15,77,5.8933,95.3214
209,Santo Antônio do Tauá,BR,0,78.8,5.75,89,-1.1519,-48.1294
210,Muroran,JP,20,35.6,4.61,69,42.3172,140.9881
211,Abnūb,EG,0,53.6,10.36,71,27.2696,31.1511
212,Norman Wells,CA,20,-5.8,9.22,77,65.282,-126.8329
213,Omboué,GA,100,79.32,6.89,85,-1.5746,9.2618
214,Caiapônia,BR,100,68.09,3.06,95,-16.9567,-51.8103
215,Harper,LR,10,79.2,7.38,89,4.375,-7.7169
216,San Buenaventura,MX,24,53.62,11.43,49,27.0833,-101.5333
217,Qaanaaq,GL,0,-1.39,4.76,70,77.484,-69.3632
218,Adrar,MR,0,65.73,11.48,20,20.5022,-10.0711
219,Aykhal,RU,93,-22.11,3.09,78,66.0,111.5
220,Cheney,US,75,19.0,16.11,32,47.4874,-117.5758
221,Serenje,ZM,100,61.12,6.24,97,-13.2325,30.2352
222,Alice Springs,AU,90,66.2,10.36,100,-23.7,133.8833
223,Huanuni,BO,30,48.6,5.73,50,-18.2667,-66.85
224,Villamontes,BO,34,71.11,0.2,69,-21.25,-63.5
225,Camocim,BR,99,79.65,12.73,82,-2.9022,-40.8411
226,Karratha,AU,42,81.03,4.68,67,-20.7377,116.8463
227,Savannah Bight,HN,20,82.4,4.61,69,16.45,-85.85
228,Vostok,RU,100,25.74,4.88,98,46.4856,135.8833
229,Lüderitz,NA,1,64.87,3.4,82,-26.6481,15.1594
230,Belaya Gora,RU,17,-27.45,2.51,77,68.5333,146.4167
231,Mossamedes,AO,40,73.85,1.14,74,-15.1961,12.1522
232,Esil,KZ,98,29.62,7.54,99,51.9556,66.4042
233,Ilulissat,GL,20,5.0,1.14,78,69.2167,-51.1
