City ID,City Name,Country,Cloudiness,Max Temp,Wind Speed,Humidity,Lat,Lng
92,Faanui,PF,0,82.67,12.5,67,-16.4833,-151.75
93,Saldanha,ZA,4,64.4,10.36,88,-33.0117,17.9442
94,Tateyama,JP,100,44.01,5.99,55,34.9833,139.8667
95,Alofi,NU,75,86.0,12.66,70,-19.0595,-169.9187
96,Capinópolis,BR,100,73.87,2.26,81,-18.6819,-49.5697
97,Narsaq,GL,75,37.4,37.98,28,60.9167,-46.05
98,Yulara,AU,90,77.0,8.05,94,-25.2406,130.9889
99,Aklavik,CA,20,-16.6,11.5,69,68.2191,-135.0107
100,Ribeira Grande,PT,99,61.77,35.59,78,38.5167,-28.7
101,Tuktoyaktuk,CA,40,-7.6,16.11,77,69.4541,-133.0374
102,East London,ZA,16,75.06,15.39,85,-33.0153,27.9116
103,Fortuna,US,75,52.0,16.11,100,40.5982,-124.1573
104,Arrondissement de Saint-Denis,FR,0,28.99,9.22,68,48.9167,2.3333
105,Henties Bay,NA,87,70.0,1.36,86,-22.116,14.2845
106,Dormidontovka,RU,100,11.59,8.52,94,47.7702,134.9076
107,Manta,EC,75,82.4,4.61,74,-0.95,-80.7333
108,Makokou,GA,9,73.49,4.76,82,0.5738,12.8642
109,Great Yarmouth,GB,19,33.01,5.75,93,52.6083,1.7305
110,Port Hardy,CA,75,35.6,28.77,47,50.6996,-127.4199
111,Udachny,RU,37,-23.57,2.82,85,66.4167,112.4
112,Yellowknife,CA,20,-4.0,12.66,71,62.456,-114.3525
113,Hambantota,LK,63,72.0,9.66,80,6.1241,81.1185
114,Salalah,OM,0,69.8,4.61,56,17.0151,54.0924
115,Fayaoué,NC,24,79.86,6.24,72,-20.65,166.5333
116,Singaraja,ID,100,79.41,3.13,76,-8.112,115.0882
117,Haldensleben I,DE,79,19.0,4.52,93,52.2891,11.4098
118,Matara,LK,98,71.96,2.37,89,5.9485,80.5353
119,Gazi,GR,20,55.0,4.61,87,35.3253,25.0669
120,Tara,RU,0,-27.42,5.06,85,56.8944,74.371
121,Yangi Marg`ilon,UZ,0,46.4,6.91,57,40.4272,71.7189
122,Sena Madureira,BR,100,73.09,2.91,96,-9.0656,-68.6569
123,Chokurdakh,RU,70,-18.54,4.29,81,70.6333,147.9167
124,Cockburn Town,TC,0,77.02,20.98,77,21.4612,-71.1419
125,Menongue,AO,97,62.78,3.04,66,-14.6585,17.691
